"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96759757507017","5.28345660398282","6.08796493020769","8.48175836103604","9.16975191915408","8.91679399595736","7.70780060287773","7.12277329020889","6.88210294277301","7.58538233129798","8.84261615837187","9.25046804855966","","",
"Angola","AGO","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2939716615223","28.7033821587261","29.2466757235017","15.5328118307446","17.1715799050331","18.0745661578982","17.1091178120826","23.385169992983","21.499160563566","25.6501497407251","18.3610800814702","16.5999463532431","16.1034126819228","14.8227193155102","14.184763136916","13.5426301621262","11.0020191367023","9.73251223441606","9.22377745371825","","",
"Albania","ALB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6007883019966","8.86171524611875","9.90482978245117","14.568928581516","","","","16.4842349789786","17.1961499195146","17.9650868213491","","","","","","","18.0220121712647","17.4832338190971","16.5032748907978","18.3019409890441","18.5157960517393","17.5902282567496","18.8797443981357","18.6121797172505","",
"Andorra","AND","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.15246088847924","6.08627974107935","","5.14831209233052","5.31591240378477","","","","",
"United Arab Emirates","ARE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.992336343973077","1.07587239217888","1.1224470054107","","","","","","","","","","","","0.321413865338428","0.36378633951547","0.370450571659908","0.355723150336942","0.0577340241915802","0.0434947005242334","0.0678479924985554","0.0604610482126447","",
"Argentina","ARG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83851314669697","5.00823654744009","5.54792213441138","8.01513800555669","8.12643722809198","8.05435765172309","8.17178777492906","8.69008635554994","9.03052618638845","9.07612433559182","9.62260350188905","9.32489879390056","9.81895834666325","12.5187797002949","13.1007798994386","13.1031756459852","12.8788866954319","12.4482684483004","13.3178463574032","12.3830415594157","12.8530426903256","12.6636277012315","12.9528415127413","12.4529027558077","12.6109666067191","12.3365069418291","12.0972836411962","10.9555014904363","","",
"Armenia","ARM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9964056466186","14.3356634088462","14.3959865593942","15.962531729107","17.3217587321083","16.5058632327843","17.0700513990102","17.2194190490991","17.4916420766113","21.5862138752919","21.5991745525223","20.931220827141","21.2773752756378","20.7806533587524","20.9117293657991","",
"American Samoa","ASM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
